FindWindowExW@USER32.DLL,LdrGetDllHandle@NTDLL.DLL,NtAdjustPrivilegesToken@NTDLL.DLL,NtAlertThread@NTDLL.DLL,NtAllocateVirtualMemory@NTDLL.DLL,NtAlpcSendWaitReceivePort@NTDLL.DLL,NtConnectPort@NTDLL.DLL,NtCreateEvent@NTDLL.DLL,NtCreateFile@NTDLL.DLL,NtCreateKey@NTDLL.DLL,NtCreateKeyEx@NTDLL.DLL,NtCreateMutant@NTDLL.DLL,NtCreateSection@NTDLL.DLL,NtCreateThreadEx@NTDLL.DLL,NtCreateUserProcess@NTDLL.DLL,NtDelayExecution@NTDLL.DLL,NtDeleteValueKey@NTDLL.DLL,NtDeviceIoControlFile@NTDLL.DLL,NtEnumerateKey@NTDLL.DLL,NtEnumerateValueKey@NTDLL.DLL,NtFsControlFile@NTDLL.DLL,NtGetContextThread@NTDLL.DLL,NtMapViewOfSection@NTDLL.DLL,NtNotifyChangeKey@NTDLL.DLL,NtOpenDirectoryObject@NTDLL.DLL,NtOpenEvent@NTDLL.DLL,NtOpenFile@NTDLL.DLL,NtOpenKey@NTDLL.DLL,NtOpenKeyEx@NTDLL.DLL,NtOpenMutant@NTDLL.DLL,NtOpenProcess@NTDLL.DLL,NtOpenProcessToken@NTDLL.DLL,NtOpenSection@NTDLL.DLL,NtOpenThreadToken@NTDLL.DLL,NtProtectVirtualMemory@NTDLL.DLL,NtQueryAttributesFile@NTDLL.DLL,NtQueryDefaultLocale@NTDLL.DLL,NtQueryDirectoryFile@NTDLL.DLL,NtQueryInformationFile@NTDLL.DLL,NtQueryInformationProcess@NTDLL.DLL,NtQueryInformationToken@NTDLL.DLL,NtQueryKey@NTDLL.DLL,NtQueryObject@NTDLL.DLL,NtQuerySystemInformation@NTDLL.DLL,NtQueryValueKey@NTDLL.DLL,NtQueryVirtualMemory@NTDLL.DLL,NtQueryVolumeInformationFile@NTDLL.DLL,NtReadFile@NTDLL.DLL,NtReadVirtualMemory@NTDLL.DLL,NtRequestWaitReplyPort@NTDLL.DLL,NtResumeThread@NTDLL.DLL,NtSetContextThread@NTDLL.DLL,NtSetInformationFile@NTDLL.DLL,NtSetInformationKey@NTDLL.DLL,NtSetInformationProcess@NTDLL.DLL,NtSetInformationThread@NTDLL.DLL,NtSetSecurityObject@NTDLL.DLL,NtSetValueKey@NTDLL.DLL,NtTerminateProcess@NTDLL.DLL,NtTerminateThread@NTDLL.DLL,NtUnmapViewOfSection@NTDLL.DLL,NtWaitForMultipleObjects@NTDLL.DLL,NtWriteFile@NTDLL.DLL,NtWriteVirtualMemory@NTDLL.DLL,NtYieldExecution@NTDLL.DLL,OpenSCManager@ADVAPI32.DLL,OpenServiceW@ADVAPI32.DLL,SetWindowsHookEx@USER32.DLL,Class
0,0,0,0,17,0,0,7,0,0,0,2,6,0,0,13,0,1,7,0,0,0,12,0,1,2,8,3,21,0,0,0,7,0,21,8,0,0,3,7,0,0,0,2,14,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,832,0,0,0,0,0,Cerber 
0,0,0,0,43,0,1,9,5,0,0,2,14,0,0,0,0,1,454,2,0,0,28,0,2,2,17,28,0,7,0,3,26,0,71,35,0,0,4,57,8,0,0,20,22,7,5,7,0,4,0,0,3,0,4,0,0,0,0,0,2,0,107,0,0,0,0,0,Cerber 
0,0,0,0,15,0,1,8,3,0,0,2,3,0,0,12,0,0,173,1,0,0,6,0,2,2,4,4,0,0,0,1,5,0,15,2,0,0,1,40,0,0,0,7,0,0,2,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,Cerber 
0,0,0,0,36,0,1,3,4,0,0,2,14,0,0,2,0,1,457,3,0,0,29,0,2,0,17,3,0,0,0,2,25,0,71,30,0,0,3,51,7,0,46,24,22,13,4,7,0,2,0,0,3,18,3,1,0,0,0,0,5,0,89,0,0,0,0,0,Cerber 
0,0,0,0,53,0,2,9,9,0,0,2,11,0,0,0,0,0,461,4,0,0,0,0,3,3,23,27,29,12,0,0,36,0,0,33,0,0,0,20,1,0,8,31,24,7,0,0,0,1,0,0,6,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Cerber 
0,0,0,0,39,0,1,0,0,0,0,2,11,0,0,0,0,2,292,0,0,0,31,0,3,3,24,12,0,4,0,0,48,0,88,21,0,0,6,93,6,0,78,14,0,0,5,6,0,2,0,0,3,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Cerber 
0,0,0,0,46,0,0,8,7,0,0,2,20,0,0,19,0,1,394,1,0,0,0,0,2,1,15,3,0,9,0,0,21,0,0,0,0,0,4,37,11,0,70,25,3,0,4,7,0,1,0,0,3,0,5,0,0,0,0,0,0,0,428,0,0,0,0,0,Cerber 
0,0,0,0,8,0,1,8,5,0,0,2,4,0,0,0,0,0,196,2,0,0,0,0,3,1,27,20,1,7,0,5,27,0,123,23,0,0,3,81,8,0,79,16,0,0,2,11,0,6,0,0,5,19,7,0,0,0,0,0,0,0,963,0,0,0,0,0,Cerber 
0,0,0,0,64,0,0,13,0,0,0,2,10,0,0,0,0,2,752,1,0,0,14,0,2,2,31,25,0,0,0,4,21,0,0,58,0,0,0,42,9,0,17,40,27,2,2,15,0,1,0,0,0,0,4,1,0,0,0,0,6,0,1088,0,0,0,0,0,Cerber 
0,0,0,0,13,0,0,2,9,0,0,2,11,0,0,0,0,1,288,0,0,0,0,0,1,2,27,5,0,10,0,0,0,0,71,22,0,0,5,89,8,0,50,0,41,0,6,8,0,6,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,Cerber 
